,accuracy,best_params,c,cm_00,cm_01,cm_02,cm_10,cm_11,cm_12,cm_20,cm_21,cm_22,f1,precision,recall
0,0.83027027027,"{'svm__C': 128, 'svm__kernel': 'rbf', 'svm__gamma': 8}",0.1,212,22,6,59,420,34,10,26,136,0.817232628762,0.808203856247,0.830914819348
1,0.807982740022,"{'svm__C': 128, 'svm__kernel': 'rbf', 'svm__gamma': 8}",0.1,166,63,7,32,444,40,4,32,139,0.789926710403,0.797613895688,0.786046887024
2,0.831533477322,"{'svm__C': 128, 'svm__kernel': 'rbf', 'svm__gamma': 8}",0.1,227,8,3,46,448,18,3,78,95,0.796849990772,0.826793532073,0.789518079959
3,0.814455231931,"{'svm__C': 128, 'svm__kernel': 'rbf', 'svm__gamma': 8}",0.1,195,34,4,36,459,23,3,72,101,0.782412295531,0.811595071288,0.765624631236
4,0.784864864865,"{'svm__C': 128, 'svm__kernel': 'rbf', 'svm__gamma': 8}",0.1,143,97,0,13,494,0,1,88,89,0.740040655299,0.879456175405,0.690064102564
5,0.864718614719,"{'svm__C': 128, 'svm__kernel': 'rbf', 'svm__gamma': 8}",0.1,192,43,2,10,467,29,2,39,140,0.850503633882,0.87017581455,0.835510715483
6,0.796536796537,"{'svm__C': 128, 'svm__kernel': 'rbf', 'svm__gamma': 8}",0.1,191,41,1,46,427,44,0,56,118,0.777809242324,0.781573016516,0.7746073903
7,0.761081081081,"{'svm__C': 128, 'svm__kernel': 'rbf', 'svm__gamma': 8}",0.1,148,77,12,14,453,40,6,72,103,0.720303881608,0.765986734779,0.69567482386
8,0.794788273616,"{'svm__C': 128, 'svm__kernel': 'rbf', 'svm__gamma': 8}",0.1,190,44,0,30,452,23,1,91,90,0.757724384843,0.808735239851,0.733840270474
9,0.802588996764,"{'svm__C': 128, 'svm__kernel': 'rbf', 'svm__gamma': 8}",0.1,201,30,6,70,412,31,13,33,131,0.788340492411,0.784958934896,0.797111056185
10,0.878896882494,"{'svm__C': 4096, 'svm__kernel': 'rbf', 'svm__gamma': 2}",0.2,188,21,0,25,425,13,8,34,120,0.863118835229,0.879450346265,0.852729612572
11,0.846062052506,"{'svm__C': 4096, 'svm__kernel': 'rbf', 'svm__gamma': 2}",0.2,180,22,9,30,401,36,8,24,128,0.828463771571,0.820888063018,0.837250981865
12,0.84229390681,"{'svm__C': 4096, 'svm__kernel': 'rbf', 'svm__gamma': 2}",0.2,174,41,5,24,422,6,2,54,109,0.821494913755,0.864860305179,0.795047823366
13,0.795942720764,"{'svm__C': 4096, 'svm__kernel': 'rbf', 'svm__gamma': 2}",0.2,147,63,7,26,402,29,0,46,118,0.775521010341,0.800879169396,0.758860480184
14,0.84661117717,"{'svm__C': 4096, 'svm__kernel': 'rbf', 'svm__gamma': 2}",0.2,187,23,1,34,390,43,4,24,135,0.836701235918,0.82591652261,0.849864852029
15,0.826296743064,"{'svm__C': 4096, 'svm__kernel': 'rbf', 'svm__gamma': 2}",0.2,161,39,4,39,399,26,1,35,125,0.812618394828,0.816999478273,0.808508998302
16,0.863636363636,"{'svm__C': 4096, 'svm__kernel': 'rbf', 'svm__gamma': 2}",0.2,180,21,3,22,409,36,0,32,133,0.852177899805,0.849875436049,0.854738848365
17,0.879807692308,"{'svm__C': 4096, 'svm__kernel': 'rbf', 'svm__gamma': 2}",0.2,181,13,13,18,428,20,1,35,123,0.859697384538,0.864207067442,0.855478658849
18,0.811387900356,"{'svm__C': 4096, 'svm__kernel': 'rbf', 'svm__gamma': 2}",0.2,170,46,0,47,395,19,2,45,119,0.799572412473,0.817110583329,0.786912492906
19,0.867629362214,"{'svm__C': 4096, 'svm__kernel': 'rbf', 'svm__gamma': 2}",0.2,182,22,2,27,424,9,0,50,115,0.851505243104,0.879450173168,0.834067991012
20,0.885826771654,"{'svm__C': 32768, 'svm__kernel': 'rbf', 'svm__gamma': 4}",0.3,169,20,0,19,385,16,3,29,121,0.875198595698,0.885041735651,0.867232078016
21,0.901445466491,"{'svm__C': 32768, 'svm__kernel': 'rbf', 'svm__gamma': 4}",0.3,185,12,0,21,392,9,5,28,109,0.887785690148,0.902637824051,0.878533960275
22,0.875166002656,"{'svm__C': 32768, 'svm__kernel': 'rbf', 'svm__gamma': 4}",0.3,178,20,1,15,386,15,2,41,95,0.853719796712,0.877403681431,0.836920924765
23,0.852047556143,"{'svm__C': 32768, 'svm__kernel': 'rbf', 'svm__gamma': 4}",0.3,149,32,7,19,388,17,0,37,108,0.832559766103,0.851367299124,0.817491705773
24,0.888888888889,"{'svm__C': 32768, 'svm__kernel': 'rbf', 'svm__gamma': 4}",0.3,184,10,6,19,366,24,1,24,122,0.877255122398,0.87319745442,0.881599166154
25,0.835543766578,"{'svm__C': 32768, 'svm__kernel': 'rbf', 'svm__gamma': 4}",0.3,147,52,2,18,380,13,4,35,103,0.817501977183,0.852136112642,0.793756535168
26,0.895640686922,"{'svm__C': 32768, 'svm__kernel': 'rbf', 'svm__gamma': 4}",0.3,182,11,1,19,389,18,1,29,107,0.880940550863,0.885652118325,0.877437255871
27,0.857712765957,"{'svm__C': 32768, 'svm__kernel': 'rbf', 'svm__gamma': 4}",0.3,170,12,4,35,369,19,2,35,106,0.84139010246,0.843326898591,0.842525887138
28,0.859437751004,"{'svm__C': 32768, 'svm__kernel': 'rbf', 'svm__gamma': 4}",0.3,161,26,2,16,361,33,3,25,120,0.847684477664,0.848283861688,0.847716822514
29,0.857894736842,"{'svm__C': 32768, 'svm__kernel': 'rbf', 'svm__gamma': 4}",0.3,160,39,0,19,384,18,5,27,108,0.84309477804,0.860013802622,0.829187562061
30,0.865412445731,"{'svm__C': 16384, 'svm__kernel': 'rbf', 'svm__gamma': 8}",0.4,149,26,1,16,340,19,5,26,109,0.852750551432,0.862926255774,0.843943001443
