,accuracy,best_params,c,cm_00,cm_01,cm_02,cm_10,cm_11,cm_12,cm_20,cm_21,cm_22,f1,precision,recall
0,0.701943844492,{'nb__priors': None},0.1,223,9,0,202,282,29,6,30,145,0.721953416809,0.743079799447,0.770673157089
1,0.685807150596,{'nb__priors': None},0.1,236,1,0,237,248,23,13,16,149,0.71530662187,0.76257494473,0.773682739594
2,0.737297297297,{'nb__priors': None},0.1,234,6,0,184,311,17,5,31,137,0.75568621873,0.778826679964,0.791443129817
3,0.630952380952,{'nb__priors': None},0.1,234,0,0,250,211,53,16,22,138,0.651524049574,0.698697496049,0.731532248556
4,0.638709677419,{'nb__priors': None},0.1,235,0,0,248,206,60,12,16,153,0.660089323776,0.706995087277,0.74869402584
5,0.669197396963,{'nb__priors': None},0.1,230,0,0,236,261,10,15,44,126,0.691626653948,0.753459590441,0.731957993496
6,0.658378378378,{'nb__priors': None},0.1,229,0,0,242,258,21,18,35,122,0.679695079916,0.733998528906,0.730781464217
7,0.629189189189,{'nb__priors': None},0.1,234,0,0,228,196,93,7,15,152,0.64323896041,0.682750672597,0.750891156614
8,0.703023758099,{'nb__priors': None},0.1,234,4,0,188,296,24,8,51,121,0.711462548173,0.740657882812,0.746030888296
9,0.720779220779,{'nb__priors': None},0.1,237,3,0,202,291,18,7,28,138,0.74284911533,0.77324407574,0.784886495179
10,0.635071090047,{'nb__priors': None},0.2,223,1,0,217,188,62,11,17,125,0.651575760126,0.691842439945,0.738366257162
11,0.629761904762,{'nb__priors': None},0.2,211,2,0,214,191,66,11,18,127,0.646047374378,0.682396437451,0.736744354197
12,0.670658682635,{'nb__priors': None},0.2,199,2,0,209,249,14,12,38,112,0.691027217204,0.741430036067,0.736316716272
13,0.677419354839,{'nb__priors': None},0.2,211,0,0,212,234,19,11,28,122,0.701983996262,0.74818437105,0.753663260536
14,0.671445639188,{'nb__priors': None},0.2,210,0,0,219,219,24,11,21,133,0.698724142202,0.745635495078,0.760028860029
15,0.632896305125,{'nb__priors': None},0.2,210,0,0,208,181,79,6,15,140,0.648161131993,0.686007271005,0.752105784714
16,0.675417661098,{'nb__priors': None},0.2,211,0,0,209,243,5,13,45,112,0.696038767091,0.762770959581,0.730184064873
17,0.640530759952,{'nb__priors': None},0.2,217,0,0,220,187,54,13,11,127,0.661087153006,0.709441375077,0.748899838627
18,0.663082437276,{'nb__priors': None},0.2,215,1,1,209,234,22,8,41,106,0.680205200603,0.722405566166,0.725960061444
19,0.670250896057,{'nb__priors': None},0.2,200,3,0,195,256,16,10,52,105,0.681719696628,0.728248960312,0.720714687122
20,0.642201834862,{'nb__priors': None},0.3,189,0,0,202,172,45,11,15,129,0.663815067727,0.710438220111,0.747586419278
21,0.62962962963,{'nb__priors': None},0.3,189,0,0,192,163,64,10,14,124,0.645599747266,0.687951460656,0.742286439184
22,0.619680851064,{'nb__priors': None},0.3,189,0,0,198,155,68,10,10,122,0.636333730828,0.685856577173,0.742441983652
23,0.617493472585,{'nb__priors': None},0.3,192,0,0,219,157,49,10,15,124,0.64085896356,0.695203570194,0.733875509936
24,0.649006622517,{'nb__priors': None},0.3,197,0,0,186,175,56,8,15,118,0.665293545571,0.701016622752,0.752181233736
25,0.671936758893,{'nb__priors': None},0.3,193,0,0,207,201,17,10,15,116,0.704664361418,0.757822571333,0.765212070644
26,0.698412698413,{'nb__priors': None},0.3,193,0,0,188,212,17,9,14,123,0.727213834905,0.770498773596,0.783619679599
27,0.683443708609,{'nb__priors': None},0.3,187,0,0,186,209,18,12,23,120,0.707006932445,0.75204719069,0.760082272384
28,0.669281045752,{'nb__priors': None},0.3,185,2,0,179,232,10,8,54,95,0.680509986759,0.735876429425,0.715156412615
29,0.68090787717,{'nb__priors': None},0.3,186,0,0,191,216,13,9,26,108,0.707033148121,0.755663083972,0.75651015651
30,0.67299270073,{'nb__priors': None},0.4,165,1,0,178,186,21,8,16,110,0.700379870937,0.742012094736,0.76599610304
31,0.699421965318,{'nb__priors': None},0.4,174,0,0,178,194,10,4,16,116,0.732501787399,0.777736163129,0.786931526537
32,0.650289017341,{'nb__priors': None},0.4,180,0,0,169,152,53,9,11,118,0.666335678056,0.708455704348,0.753829858689
33,0.670623145401,{'nb__priors': None},0.4,171,0,0,185,185,10,7,20,96,0.703785339426,0.759724593971,0.755776636714
34,0.640579710145,{'nb__priors': None},0.4,169,0,0,182,161,45,9,12,112,0.661776745511,0.704485359591,0.752351238922
35,0.622254758419,{'nb__priors': None},0.4,173,0,0,171,142,59,11,17,110,0.635585110941,0.677097759544,0.726273959794
36,0.637026239067,{'nb__priors': None},0.4,172,0,0,188,158,40,6,15,107,0.660960730863,0.703710436447,0.74842130829
37,0.645680819912,{'nb__priors': None},0.4,177,0,0,183,180,10,7,42,84,0.665288472217,0.728905553475,0.70471755797
38,0.636231884058,{'nb__priors': None},0.4,164,0,0,177,157,51,10,13,118,0.654649764077,0.696330243691,0.748223880139
39,0.649635036496,{'nb__priors': None},0.4,175,0,0,176,157,44,7,13,113,0.670003658988,0.710700483446,0.755356561164
40,0.695512820513,{'nb__priors': None},0.5,158,0,0,156,175,10,7,17,101,0.724100113525,0.771193360416,0.773732160313
41,0.68152866242,{'nb__priors': None},0.5,155,0,0,155,168,15,7,23,105,0.705156584437,0.747846714123,0.758273065965
42,0.681744749596,{'nb__priors': None},0.5,148,0,0,153,176,19,6,19,98,0.705155525874,0.740751876908,0.767498364639
43,0.67665615142,{'nb__priors': None},0.5,159,0,0,164,184,10,4,27,86,0.702860468881,0.751369926712,0.749669738497
44,0.670436187399,{'nb__priors': None},0.5,150,0,0,169,167,18,10,7,98,0.70245513591,0.75350825094,0.774641775158
45,0.692675159236,{'nb__priors': None},0.5,163,0,0,153,171,18,8,14,101,0.717690539331,0.758716746625,0.773712737127
46,0.671052631579,{'nb__priors': None},0.5,152,0,0,157,164,11,9,23,92,0.696455261202,0.749398884157,0.745303795828
47,0.70340356564,{'nb__priors': None},0.5,154,0,0,156,182,11,6,10,98,0.73569033729,0.778113669209,0.793713031385
48,0.6768,{'nb__priors': None},0.5,158,0,0,160,171,15,7,20,94,0.702835706382,0.747942375123,0.75702638577
49,0.680129240711,{'nb__priors': None},0.5,154,0,0,157,169,18,6,17,98,0.70622262721,0.746411384383,0.767065475046
50,0.701275045537,{'nb__priors': None},0.6,137,0,0,132,153,11,10,11,95,0.726575697771,0.773397556962,0.778619136378
51,0.666083916084,{'nb__priors': None},0.6,146,0,0,155,150,6,11,19,85,0.695932434533,0.763196205504,0.740481849108
