‘AvgRequestNo’,‘AvgTimeBetwReq’,‘AvgTimeBetwRespReq’,AvgDataRate,AvgPacketNo,‘AvgPacketSize’,‘AvgConcurrentReq’,‘MaxReq’,‘AvgDuration’,Class
1.871,0.52,0.206,0.022,22.703,121.306,597.403,2315,165.349,slowloris
1.565,0.626,0.607,0.023,17.762,165.184,732.553,2970,169.757,slowloris
2.693,0.377,0.41,0.02,15.9025,155.665,308.406,1381,96.939,slowloris
3.172,0.316,0.223,0.018,16.748,132.043,437.083,2187,88.263,slowloris
3.214,0.297,0.068,0.019,17.825,130.849,2.948,236,97.366,slowloris
4.654,0.215,0.188,0.017,16.22,133.175,4.556,206,64.269,slowloris
24.677,0.038,4.681,2.805,268.301,1306.993,20.196,87,2.553,slowloris
25.382,0.038,4.681,2.885,275.974,1306.959,20.773,87,2.454,slowloris
16.152,0.038,4.681,1.836,175.611,1307.021,13.219,87,2.59,slowloris
22.485,0.038,0.806,2.519,242.586,1298.164,18.232,76,4.519,slowloris
22.059,0.042,2.665,2.534,242.44,1306.664,18.507,86,2.325,slowloris
23.22,0.043,2.665,2.668,255.257,1306.391,19.481,86,2.404,slowloris
19.005,0.049,0.199,2.334,224.284,1301.148,16.401,65,6.556,slowloris
17.004,0.038,0.876,2.763,264.681,1305.104,17.933,69,3.32,slowloris
21.1,0.047,0.006,0.116,17.333,835.7884,12.25,31,0.084,slowloris
20.042,0.048,0.798,2.381,229.809,1294.836,17.232,76,3.019,slowloris
20.519,0.048,0.798,2.436,234.876,1296.571,17.642,76,3.262,slowloris
17.954,0.048,0.797,2.131,205.113,1298.509,15.437,76,0.312,slowloris
16.224,0.062,0.006,1.841,177.299,1298.184,13.537,76,2.361,slowloris
11.502,0.087,1.185,1.358,130.159,1304.13,19.213,87,1.453,slowloris
23.028,0.043,3.719,2.674,255.428,1308.431,12.25,31,0.084,slowloris
26.109,0.038,4.685,2.97,284.058,1307.099,21.371,87,2.59,slowloris
5.262,0.184,1.909,1.133,105.815,1338.945,3.722,76,5.626,slowloris
2.236,0.179,0.331,0.627,56.817,1380.434,1.41,66,0.35,slowloris
5.167,0.193,1.656,1.436,132.39,1356.67,3.6955,76,2.812,slowloris
5.482,0.182,1.641,1.516,139.183,1361.917,4.021,76,2.116,slowloris
0.611,0.517,0,0.011,11.633,113.066,25,367,483.229,slowloris
0.45,2.191,0,0.01,11.299,109.609,26,405,652.944,slowloris
0.373,2.711,0,0.01,11.178,108.367,30,447,793.704,slowloris
0.767,1.308,0,0.018,14.404,154.254,131.296,690,425.727,slowloris
1.152,0.87,0,0.024,17.03,175.473,221.233,691,226.42,slowloris
0.997,1.007,0,0.024,16.816,175.498,278.467,897,343.128,slowloris
0.898,1.114,0,0.023,16.68,173.025,277.278,1077,377.753,slowloris
1.43,0.702,0,0.031,19.665,195.546,396.1,858,203.038,slowloris
1.251,0.827,0,0.032,20.067,198.316,626.606,1501,321.07,slowloris
1.467,0.688,0,0.032,20.822,192.677,374.012,80,257.781,slowloris
1.41,0.71,0,0.034,21.307,200.684,637.736,1269,277.098,slowloris
1.435,0.697,0,0.031,19.978,194.129,369.682,861,260.228,slowloris
1.371,0.733,0,0.033,21.071,197.725,565.321,1234,282.378,slowloris
1.373,0.687,0,0.034,20.926,202.129,623.704,1373,274.41,slowloris
1.389,0.722,0,0.034,21.247,198.602,562.104,1250,280.166,slowloris
1.488,0.673,0,0.033,20.928,194.829,391.965,893,254.92136,slowloris
1.423,0.704,0,0.035,21.299,201.125,626.5,1281,275.499,slowloris
1.587,0.632,0,0.035,21.995,199.584,501.172,952,245.823,slowloris
1.464,0.704,0,0.036,22.164,201.978,613.132,1318,276.975,slowloris
1.552,0.659,0,0.034,21.787,197.167,462.895,931,252.544,slowloris
1.489,0.682,0,0.036,22.491,202.592,657.886,1340,270.657,slowloris
1.638,0.615,0,0.036,22.533,202.216,513.11,983,241.716,slowloris
1.497,0.674,0,0.037,22.447,203.773,647.022,1347,268.7,slowloris
1.668,0.601,0,0.036,21.08,214.828,517.46,1001,239.535,slowloris
1.592,0.629,0,0.039,23.374,208.301,729.74,1433,257.86,slowloris
1.003,0.999,0,0.018,11.153,197.898,136.2,602,331.434,slowloris
1.245,0.82,0,0.024,13.985,214.33,252.19,747,291.671,slowloris
1.365,0.747,0,0.027,15.315,220.961,351.293,819,274.1,slowloris
1.513,0.665,0,0.031,16.795,228.805,461.547,908,253.995,slowloris
1.442,0.707,0,0.029,15.973,225.49,325.743,865,263.507,slowloris
1.57,0.639,0,0.032,17.213,232.559,491.945,942,248.267,slowloris
1.532,0.654,0,0.031,16.795,230.948,425.535,919,250.95,slowloris
1.587,0.631,0,0.032,17.367,223.199,475.825,952,245.425,slowloris
1.635,0.614,0,0.034,18.003,234.834,503.357,981,242.264,slowloris
0.918,1.095,0,0.015,8.542,212.427,117.378,551,352.978,slowloris
1.16,0.892,0,0.021,11.328,229.136,209.19,696,308.333,slowloris
1.273,0.795,0,0.023,12.23,240.001,231.22,764,284.758,slowloris
1.377,0.728,0,0.026,13.613,241.482,315.497,826,269.64,slowloris
1.545,0.669,0,0.03,15.342,248.01,407.202,927,254.99,slowloris
1.45,0.693,0,0.028,14.278,245.272,363.838,870,260.076,slowloris
1.357,0.739,0,0.029,14.984,245.97,536.752,1221,284.536,slowloris
1.453,0.693,0,0.028,14.418,244.091,418.065,872,260.41,slowloris
1.593,0.641,0,0.032,15.925,248.834,465.325,956,248.768,slowloris
2.46,0.407,0.406,0.003,2.46,139,2.46,3,0.013,normal
2.532,0.407,0.406,0.003,2.532,139,2.532,3,0.013,normal
2.462,0.407,0.406,0.003,2.462,139,2.462,3,0.013,normal
2.523,0.407,0.406,0.003,2.523,139,2.523,3,0.013,normal
4.91,0.204,0.203,0.005,4.91,139,4.91,5,0.014,normal
4.923,0.204,0.203,0.005,4.927,139,4.927,5,0.014,normal
4.907,0.204,0.203,0.005,4.907,139,4.907,5,0.014,normal
8.382,0.12,0.119,0.009,8.382,139,8.382,9,0.026,normal
8.4,0.12,0.119,0.009,8.4,139,8.4,9,0.026,normal
4.927,0.203,0.382,0.005,4.927,139,4.927,6,0.014,normal
4.927,0.203,0.382,0.005,4.927,139,4.927,6,0.014,normal
4.92,0.203,0.39,0.005,4.92,139,4.92,6,0.014,normal
10.147,1.102,1.102,0.11,10.147,139,10.147,10,0.014,normal
9.52,0.102,0.102,0.011,9.52,139,9.52,10,0.013,normal
16.687,0.06,0.116,0.019,16.687,139,16.687,18,0.026,normal
1.51779,13.64,3.65,0.65,73,0.06,8.93,0,0,normal
7.39,0.136,0.375,0.008,7.39,139,7.39,9,0.015,normal
7.44,0.135,0.289,0.008,7.44,139,7.44,9,0.014,normal
7.39,0.135,0.343,0.008,7.39,139,7.39,9,0.014,normal
14.753,0.68,0.07,0.016,14.753,139,14.753,15,0.013,normal
14.729,0.68,0.07,0.016,14.729,139,14.729,15,0.013,normal
25.53,0.04,0.078,0.028,25.53,139,25.53,27,0.024,normal
24.974,0.04,0.095,0.028,24.974,139,24.974,27,0.025,normal
27.393,0.037,0.069,0.031,27.459,139,26.722,39,4.757,normal
9.849,0.102,0.356,0.011,9.849,139,9.849,12,0.015,normal
20.064,0.51,0.058,0.022,20.064,139,20.064,20,0.013,normal
33.628,0.03,0.075,0.037,33.628,139,33.628,36,0.024,normal
33.3,0.03,0.094,0.037,33.3,139,33.3,36,0.025,normal
33.511,0.03,0.094,0.037,33.517,139,33.514,40,0.025,normal
0.397,2.516,2.934,3.781,317.432,1488.803,0.483,8,107.143,normal
0.65,1.56,4.191,1.289,109.141,1476.826,0.832,45,45.212,normal
1.229,0.812,3.036,0.824,69.678,1477.936,1.852,54,70.098,normal
2.699,0.371,0.998,0.956,83.156,1436.866,3.801,86,77.766,normal
1.588,0.63,1.712,3.677,309.691,1484.182,2.365,51,73.884,normal
3.929,0.254,0.941,0.714,63.392,1407.946,5.831,98,101.748,normal
2.089,0.473,1.039,2.041,172.617,1477.681,2.751,63,93.866,normal
1.424,0.693,1.487,1.119,95.739,1460.919,1.919,117,125.66,normal
3.227,0.309,0.89,1.702,146.933,1447.239,4.555,120,59.99,normal
2.747,0.365,1.006,3.415,291.293,1465.524,3.787,79,46.639,normal
3.006,0.334,0.82,3.082,260.173,1480.566,4.091,111,110.275,normal
18.14,0.09,0.1,2.22,218.03,1274.04,11.77,145,0.559,normal
4,0.232,0.144,0.711,72.202,1231.362,1.289,62,1.673,normal
9.081,0.112,0.116,1.054,108.565,1213.348,7.015,102,0.621,normal
11.743,0.086,0.066,1.566,163.002,1201.023,7.59,115,0.744,normal
2.2,0.178,0.102,0.292,32.676,1115.737,1.215,47,0.75,normal
21.677,0.049,0.038,2.224,226.447,1227.696,15.212,99,0.47,normal
24.119,0.043,0.039,2.255,327.366,1239.531,17.237,137,29.958,normal
13.8,0.075,0.06,1.458,147.534,1235.659,8.364,130,0.736,normal
10.035,0.103,0.059,2.883,265.797,1355.615,2.451,71,0.958,normal
10.642,0.095,0.06,2.279,219.042,1300.614,4.518,82,0.815,normal
10.719,0.095,0.055,3.419,308.891,1383.752,2.81,108,0.746,normal
5.823,0.189,0.078,4.207,376.743,1395.931,3.498,66,1.1936,normal
6.691,0.152,0.069,3.458,311.511,1387.577,4.061,83,0.815,normal
7.321,0.138,0.067,1.533,143.556,1330.755,4.569,64,1.722,normal
11.045,0.091,0.062,1.877,177.814,1274.04,7.663,82,0.76,normal
9.223,0.111,0.065,2.604,237.068,1373.177,5.872,81,0.78,normal
9.595,0.107,0.068,2.072,194.503,1331.696,5.544,74,1.026,normal
10.485,0.097,0.058,2.931,265.365,1380.411,7.003,67,0.916,normal
6.236,0.163,0.045,3.137,293.28,1336.976,1.418,43,0.666,normal
11.209,0.09,0.075,1.527,150.278,1270.505,8.273,86,0.659,normal
7.444,0.134,0.107,1.298,124.102,1306.96,5.425,67,0.973,normal
12.857,0.079,0.064,2.286,219.215,1303.245,9.37,114,0.507,normal
5.452,0.194,0.1,1.867,175.03,1333.347,3.87,63,0.894,normal
3.852,0.27,0.134,0.832,82.91,1253.687,3.076,28,3.923,normal
5.442,0.188,0.104,1.001,100.536,1244.347,4.408,42,4.533,normal
4.769,0.213,0.118,1.106,108.025,1280.177,3.61,62,1.908,normal
3.001,0.344,0.193,1.33,122.887,1352.936,2.264,52,2.184,normal
