‘AvgRequestNo’,‘AvgTimeBetwReq’,‘AvgTimeBetwRespReq’,AvgDataRate,AvgPacketNo,‘AvgPacketSize’,‘AvgConcurrentReq’,‘MaxReq’,‘AvgDuration’,Class
1.871,0.52,0.206,0.022,22.703,121.306,597.403,2315,165.349,slowloris
1.565,0.626,0.607,0.023,17.762,165.184,732.553,2970,169.757,slowloris
2.693,0.377,0.41,0.02,15.9025,155.665,308.406,1381,96.939,slowloris
3.172,0.316,0.223,0.018,16.748,132.043,437.083,2187,88.263,slowloris
3.214,0.297,0.068,0.019,17.825,130.849,2.948,236,97.366,slowloris
4.654,0.215,0.188,0.017,16.22,133.175,4.556,206,64.269,slowloris
24.677,0.038,4.681,2.805,268.301,1306.993,20.196,87,2.553,slowloris
25.382,0.038,4.681,2.885,275.974,1306.959,20.773,87,2.454,slowloris
16.152,0.038,4.681,1.836,175.611,1307.021,13.219,87,2.59,slowloris
22.485,0.038,0.806,2.519,242.586,1298.164,18.232,76,4.519,slowloris
22.059,0.042,2.665,2.534,242.44,1306.664,18.507,86,2.325,slowloris
23.22,0.043,2.665,2.668,255.257,1306.391,19.481,86,2.404,slowloris
19.005,0.049,0.199,2.334,224.284,1301.148,16.401,65,6.556,slowloris
17.004,0.038,0.876,2.763,264.681,1305.104,17.933,69,3.32,slowloris
21.1,0.047,0.006,0.116,17.333,835.7884,12.25,31,0.084,slowloris
20.042,0.048,0.798,2.381,229.809,1294.836,17.232,76,3.019,slowloris
20.519,0.048,0.798,2.436,234.876,1296.571,17.642,76,3.262,slowloris
17.954,0.048,0.797,2.131,205.113,1298.509,15.437,76,0.312,slowloris
16.224,0.062,0.006,1.841,177.299,1298.184,13.537,76,2.361,slowloris
11.502,0.087,1.185,1.358,130.159,1304.13,19.213,87,1.453,slowloris
23.028,0.043,3.719,2.674,255.428,1308.431,12.25,31,0.084,slowloris
26.109,0.038,4.685,2.97,284.058,1307.099,21.371,87,2.59,slowloris
5.262,0.184,1.909,1.133,105.815,1338.945,3.722,76,5.626,slowloris
2.236,0.179,0.331,0.627,56.817,1380.434,1.41,66,0.35,slowloris
5.167,0.193,1.656,1.436,132.39,1356.67,3.6955,76,2.812,slowloris
5.482,0.182,1.641,1.516,139.183,1361.917,4.021,76,2.116,slowloris
1.992,0.502,110.27,0.207,19.947,1297.764,1.745,49,0.177,normal
2.331,0.429,673.325,0.317,29.938,1323.436,1.886,41,0.191,normal
2.14,0.467,692.671,0.864,77.505,1393.584,1.503,28,0.261,normal
2.409,0.414,637.326,2.454,214.951,1427.024,0.57,15,0.3,normal
2.615,0.382,0.101,2.478,217.063,1427.144,0.73,15,0.331,normal
2.811,0.355,393.15,1.963,171.128,1433.848,1.063,40,0.26,normal
1.771,0.565,651.12,0.237,22.418,1323.357,1.462,37,0.157,normal
2.982,0.335,256.305,0.746,68.826,1355.686,1.808,46,0.244,normal
11.037,0.09,57.264,2.602,240.449,1352.58,5.058,44,0.485,normal
19.116,0.052,70.49,2.542,241.833,1313.758,9.091,78,0.619,normal
20.084,0.05,46.87,2.444,236.894,1289.728,10.549,53,0.797,normal
9.293,0.107,71.937,2.593,240.11,1349.836,2.254,27,0.681,normal
11.2,0.089,0.019,2.61,242.289,1346.533,3.859,63,0.622,normal
8.618,0.116,98.02,2.624,239.142,1371.33,3.832,42,0.715,normal
7.952,0.126,211.012,2.615,239.939,1362.192,3.735,26,0.57,normal
13.504,0.074,419.386,2.599,244.015,1331.142,8.286,60,0.615,normal
5.154,0.193,27.348,2.627,237.163,1384.53,2.337,52,0.724,normal
15.883,0.063,127.203,2.584,239.801,1346.75,10.536,55,0.678,normal
14.139,0.071,133.541,2.598,240.21,1351.979,8.375,79,0.586,normal
12.276,0.081,126.515,2.596,238.484,1360.488,7.328,45,0.522,normal
24.225,0.041,98.337,2.449,237.843,1287.251,14.567,77,0.886,normal
23.316,0.043,168.894,2.407,233.897,1286.741,11.221,88,1.055,normal
26.245,0.038,119.388,2.244,224.757,1248.068,17.427,62,1.169,normal
24.777,0.04,100.1,2.255,223.846,1259.324,11.777,58,1.229,normal
27.013,0.037,56.893,2.246,224.219,1252.382,14.253,79,1.173,normal
20.315,0.045,140.428,2.101,207.03,1268.608,10.904,77,1.048,normal
17.643,0.057,82.895,2.475,233.456,1325.153,8.763,56,0.876,normal
12.55,0.08,30.635,2.559,234.635,1363.492,6.67,45,0.772,normal
16.336,0.063,6.004,2.582,242.076,1333.104,8.836,44,0.746,normal
21.863,0.046,17.657,2.484,238,1304.646,11.802,56,0.782,normal
50.661,0.079,0.021,10.181,928.059,1371.234,31.788,41,0.648,normal
18.934,0.053,13.008,2.53,238.549,1325.531,5.174,47,0.733,normal
20.136,0.05,203.177,2.448,233.637,1309.752,14.242,76,0.879,normal
13.753,0.073,149.364,2.494,230.324,1354.03,9.636,40,0.763,normal
18.872,0.053,0.018,2.426,229.55,1320.892,14.069,50,0.799,normal
18.578,0.054,102.103,2.391,2.391,1317.36,15.09,51,0.82,normal
15.223,0.066,0.025,2.522,234.709,1343.254,10.854,45,0.756,normal
14.113,0.071,8.638,2.519,234.242,1344.271,10.011,39,0.766,normal
14.285,0.07,0.027,2.462,228.864,1344.756,9.32,36,0.867,normal
18.931,0.049,5.565,2.166,207.676,1303.92,12.209,59,0.978,normal
20.638,0.047,15.716,2.162,209.455,1290.354,12.838,52,1.1,normal
18.805,0.051,63.24,2.167,208.885,1297.291,11.578,79,1.055,normal
19.838,0.047,23.531,2.167,211.027,1283.528,14.965,55,1.05,normal
17.975,0.05,20.136,2.163,207.48,1303.397,14.133,63,0.936,normal
15.289,0.057,8.259,2.17,204.745,1324.52,12.031,52,0.852,normal
12.129,0.07,0.026,2.181,202.293,1347.739,9.118,40,0.723,normal
6.947,0.122,0.039,2.191,198.165,1381.771,3.607,47,0.704,normal
11.029,0.077,9.882,2.187,201.21,1358.852,6.753,55,0.626,normal
7.838,0.108,0.03,2.193,198.404,1381.774,4.651,37,0.603,normal
11.544,0.073,0.02,2.185,201.098,1357.87,7.622,63,0.678,normal
4.995,0.168,21.026,2.195,196.196,1398.439,2.38,26,0.596,normal
19.975,0.046,11.96,2.163,206.955,1306.176,13.351,58,0.985,normal
22.374,0.046,10.821,0.116,11.164,1299.23,0.687,65,0.986,normal
22.387,0.045,102.273,2.306,223.097,1291.828,16.064,62,1.072,normal
16.336,0.063,6.004,2.582,242.076,1333.104,8.836,44,0.746,normal
11.38,0.088,129.232,2.517,229.455,1370.919,6.775,52,0.986,normal
15.649,0.07,89.859,2.729,252.189,1352.899,11.318,45,0.84,normal
9.192,0.053,13.008,2.53,238.549,1325.531,5.174,47,0.733,normal
20.834,0.048,140.704,2.393,227.628,1314.606,13.856,84,1.036,normal
19.9,0.052,92.95,2.418,229.396,1317.765,13.286,58,0.924,normal
18.61,0.054,32.437,2.414,226.86,1330.058,13.366,55,0.964,normal
18.364,0.053,16.848,2.4,225.686,1329.156,12.138,51,0.735,normal
1.504,0.665,0.578,0.174,16.635,1305.353,1.243,42,0.195,normal
2.181,0.459,6.466,0.244,22.999,1326.235,1.855,70,0.171,normal
22.44,0.046,2.975,2.646,254.107,1301.613,12.324,68,0.459,normal
20.577,0.049,7.965,2.562,246.042,1301.703,13.921,68,0.532,normal
7.657,0.131,4.105,1.041,98.399,1323.002,6.215,49,0.262,normal
22.248,0.092,10.709,3.437,320.478,1340.412,16.205,58,0.34,normal
17.216,0.058,29.468,2.229,211.847,1315.345,11.358,59,0.474,normal
30.575,0.033,0.01,2.734,268.87,1270.998,19.315,64,0.692,normal
17.279,0.058,5.178,2.604,244.192,1306.677,12.649,101,0.479,normal
4.603,0.217,16.229,0.544,52.068,1306.677,3.752,38,0.259,normal
4.942,0.202,12.559,0.48,46.484,1290.282,3.954,63,0.255,normal
6.793,0.147,16.377,1.531,140.34,1363.731,4.428,30,0.302,normal
5.309,0.384,0.318,0.84,78.311,1340.223,3.826,54,0.199,normal
4.54,0.22,0.216,0.413,40.343,1280.327,3.215,81,0.301,normal
3.377,0.296,24.349,0.558,51.3,1360.813,2.612,54,0.204,normal
1.605,0.623,17.388,0.172,16.566,1297.759,1.349,47,0.193,normal
2.55,0.392,23.913,0.228,22.343,1273.343,2.204,64,0.169,normal
5.097,0.195,0.149,0.539,52.298,1288.44,3.766,70,0.24,normal
3.012,0.332,117.248,0.292,28.231,1292.996,2.402,75,0.205,normal
1.587,0.63,157.063,0.299,27.357,1365.627,0.985,66,0.206,normal
1.209,0.66,132.344,0.119,11.679,1277.178,12.25,31,0.084,normal
0.65,1.533,0.166,2.84,248.457,1429.001,0.025,4,0.102,normal
1.86,0.538,246.413,2.727,239.885,1421.151,0.51,26,0.258,normal
1.117,0.885,0.106,2.986,261.622,1426.319,0.197,7,0.311,normal
6.295,0.159,38.488,0.966,93.747,1287.808,4.495,61,0.199,normal
5.896,0.169,21.057,0.39,40.95,1189.978,4.902,83,0.134,normal
1.794,0.557,137.417,0.133,13.357,1244.118,1.587,73,0.147,normal
1.391,0.718,108.598,0.128,12.453,1286.546,1.216,58,0.175,normal
1.243,0.805,231.459,0.13,12.481,1305.612,1.047,41,0.139,normal
1.328,0.06,0.006,0.116,17.333,835.7884,12.25,31,0.084,normal
0.609,1.653,1.499,0.129,11.488,1408.515,0.488,12,0.141,normal
1.823,0.548,0.533,0.162,15.973,1268.118,1.431,58,0.182,normal
1.123,0.889,4.707,0.138,13.117,1316.366,0.837,34,0.184,normal
846.562,0.001,0.001,6.33,1572.598,503.143,27.183,786,0.008,flooding
929.716,0.001,0.001,6.282,1499.819,523.577,33.862,931,0.007,flooding
925.075,0.001,0.001,6.322,1497.768,527.629,30.547,780,0.007,flooding
91.364,0.012,0.029,2.193,282.383,970.836,11.713,787,0.0326,flooding
276.4535,0.028,0.045,4.416,711.503,775.931,26.659,551,0.063,flooding
275.869,0.025,0.136,4.429,712.124,777.473,26.151,603,0.058,flooding
158.764,0.044,0.238,3.379,473.849,891.373,22.717,562,0.09,flooding
483.435,0.002,0.001,4.808,736.256,604.709,16.006,695,0.009,flooding
383.391,0.003,0.001,3.562,17.333,835.7884,19.431,611,0.084,flooding
295.424,0.003,0.001,3.034,591.129,641.527,12.629,786,0.009,flooding
233.864,0.004,0.005,2.636,490.284,672.024,9.181,611,0.018,flooding
206.599,0.005,0.001,2.176,419.301,629.495,7.839,601,0.009,flooding
