‘AvgRequestNo’,‘AvgTimeBetwReq’,‘AvgTimeBetwRespReq’,AvgDataRate,AvgPacketNo,‘AvgPacketSize’,‘AvgConcurrentReq’,‘MaxReq’,‘AvgDuration’,Class
0.611,0.517,0,0.011,11.633,113.066,25,367,483.229,slowloris
0.45,2.191,0,0.01,11.299,109.609,26,405,652.944,slowloris
0.373,2.711,0,0.01,11.178,108.367,30,447,793.704,slowloris
0.767,1.308,0,0.018,14.404,154.254,131.296,690,425.727,slowloris
1.152,0.87,0,0.024,17.03,175.473,221.233,691,226.42,slowloris
0.997,1.007,0,0.024,16.816,175.498,278.467,897,343.128,slowloris
0.898,1.114,0,0.023,16.68,173.025,277.278,1077,377.753,slowloris
1.43,0.702,0,0.031,19.665,195.546,396.1,858,203.038,slowloris
1.251,0.827,0,0.032,20.067,198.316,626.606,1501,321.07,slowloris
1.467,0.688,0,0.032,20.822,192.677,374.012,80,257.781,slowloris
1.41,0.71,0,0.034,21.307,200.684,637.736,1269,277.098,slowloris
1.435,0.697,0,0.031,19.978,194.129,369.682,861,260.228,slowloris
1.371,0.733,0,0.033,21.071,197.725,565.321,1234,282.378,slowloris
1.373,0.687,0,0.034,20.926,202.129,623.704,1373,274.41,slowloris
1.389,0.722,0,0.034,21.247,198.602,562.104,1250,280.166,slowloris
1.488,0.673,0,0.033,20.928,194.829,391.965,893,254.92136,slowloris
1.423,0.704,0,0.035,21.299,201.125,626.5,1281,275.499,slowloris
1.587,0.632,0,0.035,21.995,199.584,501.172,952,245.823,slowloris
1.464,0.704,0,0.036,22.164,201.978,613.132,1318,276.975,slowloris
1.552,0.659,0,0.034,21.787,197.167,462.895,931,252.544,slowloris
1.489,0.682,0,0.036,22.491,202.592,657.886,1340,270.657,slowloris
1.638,0.615,0,0.036,22.533,202.216,513.11,983,241.716,slowloris
1.497,0.674,0,0.037,22.447,203.773,647.022,1347,268.7,slowloris
1.668,0.601,0,0.036,21.08,214.828,517.46,1001,239.535,slowloris
1.592,0.629,0,0.039,23.374,208.301,729.74,1433,257.86,slowloris
1.003,0.999,0,0.018,11.153,197.898,136.2,602,331.434,slowloris
